id,nama,jenis,deskripsi,file_gambar,galeri_paths
L01,Dilarang Berhenti,Larangan,Kendaraan dilarang berhenti di area ini.,icons/larangan-berhenti.png,""
L02,Dilarang Masuk,Larangan,Kendaraan dilarang memasuki jalur ini.,icons/larangan-masuk-bagi-kendaraan-bermotor-dan-tidak-bermotor.png,""
L03,Larangan Parkir,Larangan,Kendaraan dilarang parkir di area ini.,icons/larangan-parkir.png,""
I01,Lampu Hijau,Informasi,Setiap pengendara dipersilahkan untuk melaju kembali.,icons/lampu-hijau.png,""
I02,Lampu Kuning,Informasi,Setiap pengendara bersiap untuk jalan kembali dan berhati-hati.,icons/lampu-kuning.png,""
I03,Lampu Merah,Informasi,Setiap pengendara berhenti pada belakang garis putih yang sudah ditentukan.,icons/lampu-merah.png,""
L04,Dilarang Belok Kanan,Larangan,Kendaraan dilarang belok ke kanan.,icons/larangan-belok-kanan.png,""
L05,Dilarang Belok Kiri,Larangan,Kendaraan dilarang belok ke kiri.,icons/larangan-belok-kiri.png,""
L06,Larangan Berjalan Terus Wajib Berhenti Sesaat,Larangan,Dilarang berjalan terus dan wajib berhenti sesaat.,icons/larangan-berjalan-terus-wajib-berhenti-sesaat.png,""
L07,Dilarang Putar Balik,Larangan,Dilarang memutar balik pada jalur ini.,icons/larangan-memutar-balik.png,""
P01,Peringatan Alat Pemberi Isyarat Lalu Lintas,Peringatan,Peringatan ada Alat Pemberi Isyarat Lalu Lintas,icons/peringatan-alat-pemberi-isyarat-lalu-lintas.png,""
P02,Peringatan Banyak Pejalan Kaki menggunakan Zebra Cross,Peringatan,Peringatan ada banyak pejalan kaki menggunakan zebra cross.,icons/peringatan-banyak-pejalan-kaki-menggunakan-zebra-cross.png,""
P03,Peringatan Pintu Perlintasan Kereta Api,Peringatan,Peringatan ada pintu perlintasan kereta api.,icons/peringatan-pintu-perlintasan-kereta-api.png,""
P04,Peringatan Simpang Tiga Sisi Kiri,Peringatan,Peringatan ada simpang tiga sisi kiri pada jalur ini.,icons/peringatan-simpang-tiga-sisi-kiri.png,""
P05,Peringatan Penegasan Rambu Tambahan,Peringatan,Peringatan penegasan rambu tambahan dan berhati-hati.,icons/peringatan-penegasan-rambu-tambahan.png,"gallery/rawan-kecelakaan.jpg,gallery/hati-hati.jpeg"
W01,Perintah Masuk Jalur Kiri,Perintah,Perintah untuk memasuki jalur kiri.,icons/perintah-masuk-jalur-kiri.png,""
W02,Perintah Pilihan Masuk Salah Satu Jalur,Perintah,Perintah untuk Memasuki salah satu jalur.,icons/perintah-pilihan-memasuki-salah-satu-jalur.png,""
H01,Petunjuk Area Parkir,Petunjuk,Petunjuk pada informasi lokasi area tempat parkir resmi.,icons/petunjuk-area-parkir.png,""
H02,Petunjuk Lokasi Pemberhentian Bus,Petunjuk,Petunjuk pada informasi lokasi area pemberhentian bus.,icons/petunjuk-lokasi-pemberhentian-bus.png,""
H03,Petunjuk Lokasi Putar Balik,Petunjuk,Petunjuk pada informasi lokasi untuk arae putar balik.,icons/petunjuk-lokasi-putar-balik.png,""
H04,Petunjuk Penyeberangan Pejalan Kaki,Petunjuk,Petunjuk pada informasi lokasi penyeberangan pejalan kaki.,icons/petunjuk-penyeberangan-pejalan-kaki.png,""
